serial,day,month,year,season,time,bin_depth_min,bin_depth_max,n,depth_mean,depth_sd,depth_cv,temp_mean,temp_sd,temp_cv,cond_mean,cond_sd,cond_cv,ph_mean,ph_sd,ph_cv,turb_units,turb_mean,turb_sd,turb_cv,chloro_mean,chloro_sd,chloro_cv,do_percent_mean,do_percent_sd,do_percent_cv,do_ppm_mean,do_ppm_sd,do_ppm_cv,lat,long
108,17,6,2013,Spring,1540,-0.5,0.5,12,0.108,0.108,1,21.478,0.22,0.01,0.107,0.132,1.234,7.807,0.137,0.018,NTU,5.25,2.54,0.484,14.792,48.564,3.283,84.192,3.39,0.04,7.435,0.277,0.037,41.66327,-83.04967
108,17,6,2013,Spring,1540,0.5,1.5,4,1.019,0.257,0.252208,21.905,0.084,0.004,0.275,0,0,8.057,0.022,0.003,NTU,8.45,0.827,0.098,2.975,2.1,0.706,94.2,2.246,0.024,8.242,0.188,0.023,41.66327,-83.04967
108,17,6,2013,Spring,1540,1.5,2.5,9,1.777,0.252,0.141812,22.35,0.085,0.004,0.273,0.001,0.004,8.139,0.029,0.004,NTU,7.822,0.179,0.023,1.844,1.398,0.758,103.278,3.317,0.032,8.966,0.285,0.032,41.66327,-83.04967
108,17,6,2013,Spring,1540,8.5,9.5,3,8.559,0.041,0.00479,19.727,0.006,0.000304,0.289,0.001,0.003,8.23,0,0,NTU,29.9,26.81,0.897,20.667,4.05,0.196,107.1,0.854,0.008,9.78,0.075,0.008,41.66327,-83.04967
108,17,6,2013,Spring,1540,2.5,3.5,5,2.933,0.29,0.098875,21.396,0.496,0.023,0.275,0.002,0.007,8.23,0.029,0.004,NTU,8.34,0.152,0.018,3.36,1.055,0.314,109.52,0.95,0.009,9.684,0.176,0.018,41.66327,-83.04967
108,17,6,2013,Spring,1540,7.5,8.5,7,8.05,0.354,0.043975,19.769,0.041,0.002,0.289,0,0,8.254,0.013,0.002,NTU,13.171,2.161,0.164,11.657,4.9,0.42,111.029,1.767,0.016,10.134,0.156,0.015,41.66327,-83.04967
108,17,6,2013,Spring,1540,3.5,4.5,5,3.896,0.3,0.077002,20.602,0.096,0.005,0.282,0.002,0.007,8.308,0.019,0.002,NTU,8.86,0.219,0.025,8.14,2.63,0.323,112.36,0.966,0.009,10.09,0.104,0.01,41.66327,-83.04967
108,17,6,2013,Spring,1540,6.5,7.5,5,7.033,0.316,0.044931,20.054,0.133,0.007,0.289,0.001,0.003,8.294,0.011,0.001,NTU,10.02,0.829,0.083,6.16,3.365,0.546,115.5,0.927,0.008,10.482,0.058,0.006,41.66327,-83.04967
108,17,6,2013,Spring,1540,4.5,5.5,6,4.946,0.308,0.062273,20.41,0.038,0.002,0.285,0.001,0.004,8.338,0.004,0.00048,NTU,9,0.29,0.032,10.45,2.944,0.282,115.533,0.878,0.008,10.412,0.086,0.008,41.66327,-83.04967
108,17,6,2013,Spring,1540,5.5,6.5,7,5.994,0.33,0.055055,20.309,0.04,0.002,0.287,0,0,8.333,0.008,0.001,NTU,9.1,0.141,0.015,9,2.415,0.268,116.757,0.127,0.001,10.543,0.008,0.001,41.66327,-83.04967
109,17,6,2013,Spring,1735,-0.5,0.5,30,0.073,0.076,1.041096,22.468,0.327,0.015,0.106,0.082,0.774,7.793,0.072,0.009,NTU,43.943,32.979,0.75,12.207,48.779,3.996,74.813,1.449,0.019,6.482,0.166,0.026,41.76343,-83.0499
109,17,6,2013,Spring,1735,0.5,1.5,6,0.918,0.392,0.427015,21.457,0.072,0.003,0.243,0,0,8.043,0.019,0.002,NTU,11.517,9.068,0.787,2.083,1.778,0.854,83.25,2.797,0.034,7.353,0.255,0.035,41.76343,-83.0499
109,17,6,2013,Spring,1735,1.5,2.5,5,2.176,0.312,0.143382,21.302,0.09,0.004,0.243,0,0,8.094,0.015,0.002,NTU,7.18,0.421,0.059,1.3,1.468,1.129,91.66,3.409,0.037,8.122,0.316,0.039,41.76343,-83.0499
109,17,6,2013,Spring,1735,2.5,3.5,7,2.864,0.363,0.126746,20.999,0.334,0.016,0.243,0.001,0.004,8.117,0.022,0.003,NTU,7.571,0.923,0.122,1.486,1.945,1.309,95.443,2.728,0.029,8.503,0.295,0.035,41.76343,-83.0499
109,17,6,2013,Spring,1735,3.5,4.5,4,4.045,0.273,0.067491,20.267,0.359,0.018,0.242,0.001,0.004,8.162,0.01,0.001,NTU,7.175,0.126,0.018,0.45,2.001,4.447,99.275,0.66,0.007,8.973,0.124,0.014,41.76343,-83.0499
109,17,6,2013,Spring,1735,9.5,10.5,2,9.637,0.019,0.001972,18.86,0,0,0.246,0,0,8.13,0,0,NTU,36.6,52.892,1.445,14.6,9.051,0.62,99.3,0.283,0.003,9.235,0.021,0.002,41.76343,-83.0499
109,17,6,2013,Spring,1735,4.5,5.5,4,4.987,0.309,0.061961,19.73,0.073,0.004,0.243,0,0,8.188,0.005,0.001,NTU,7.325,0.096,0.013,2.425,1.323,0.546,100.7,0.337,0.003,9.203,0.051,0.006,41.76343,-83.0499
109,17,6,2013,Spring,1735,8.5,9.5,7,8.975,0.383,0.042674,18.884,0.021,0.001,0.246,0,0,8.147,0.008,0.001,NTU,12.157,1.4,0.115,4.957,2.518,0.508,100.7,0.594,0.006,9.359,0.051,0.005,41.76343,-83.0499
109,17,6,2013,Spring,1735,5.5,6.5,5,6.032,0.389,0.064489,19.338,0.158,0.008,0.244,0.001,0.004,8.192,0.004,0.00049,NTU,7.4,0.158,0.021,4.76,1.695,0.356,101.78,0.259,0.003,9.372,0.055,0.006,41.76343,-83.0499
109,17,6,2013,Spring,1735,7.5,8.5,4,7.935,0.124,0.015627,18.95,0.014,0.001,0.246,0,0,8.168,0.005,0.001,NTU,8.7,0.716,0.082,3.225,2.007,0.622,101.85,0.208,0.002,9.455,0.013,0.001,41.76343,-83.0499
